reaction_id	reactants	reactants_smiles	reactants_II	reactants_II_smiles	products	products_smiles	stages_number	yield_value	reagents_1	reagents_1_smiles	catalysts_1	catalysts_1_smiles	solvents_1	solvents_1_smiles	reagents_1_II	reagents_1_II_smiles	solvents_1_II	solvents_1_II_smiles	catalysts_1_II	catalysts_1_II_smiles	temperature_1	pressure_1	name
31-491-CAS-16917189	101-81-5	C(c1ccccc1)c2ccccc2			119-61-9	O=C(c1ccccc1)c2ccccc2	1	92	Sodium tert-butoxide	[Na+].CC(C)(C)[O-]			Dimethyl sulfoxide	O=S(C)C	Oxygen	O					50.0	0.1	Diphenyl ketone
31-491-CAS-12045497	101-81-5	C(c1ccccc1)c2ccccc2			119-61-9	O=C(c1ccccc1)c2ccccc2	1	80	Potassium hydroxide	[OH-].[K+]	Cobalt (hydroxyapatite nanocrystal supported)	[Co]	p-Xylene	C=1C=C(C=CC1C)C	Oxygen	O					100.0	0.1	Diphenyl ketone
31-098-CAS-8042349	618-41-7	O[S](=O)c1ccccc1	100-47-0	N#Cc1ccccc1	119-61-9	O=C(c1ccccc1)c2ccccc2	1	89	Sulfuric acid	O[S](O)(=O)=O	2,2′-Bipyridine	N=1C=CC=CC1C=2N=CC=CC2	Isobutanol	OCC(C)C	Water	O			Palladium diacetate	C(C)(O)=O.[Pd]	100.0	0.1	Diphenyl ketone
31-614-CAS-26868097	71-43-2	c1ccccc1	56-23-5	ClC(Cl)(Cl)Cl	119-61-9	O=C(c1ccccc1)c2ccccc2	1	89	Aluminum chloride	[Al+3].[Cl-].[Cl-].[Cl-]			Carbon tetrachloride	ClC(Cl)(Cl)Cl	Water	O					25.0	0.1	Diphenyl ketone
31-480-CAS-14847613	91-01-0	OC(c1ccccc1)c2ccccc2			119-61-9	O=C(c1ccccc1)c2ccccc2	1	95	Benzyltriethylammonium chloride	[Cl-].CC[N+](CC)(CC)Cc1ccccc1	Potassium manganate	[Mn](O)(O)(=O)=O.[K]	Benzene	C=1C=CC=CC1	Sodium hydroxide	[OH-].[Na+]	Water	O			25.0	0.1	Diphenyl ketone
31-480-CAS-31651	119-53-9	OC(c1ccccc1)C(=O)c2ccccc2			134-81-6	O=C(c1ccccc1)C(=O)c2ccccc2	1	94	Potassium hydroxide	[OH-].[K+]	Cobalt chloride (CoCl2)	[Co](Cl)Cl	o-Xylene	C=1C=CC(=C(C1)C)C	Oxygen	O			Cellulose (ethylenediamine-functionalized, cobalt(II) complex)	COC1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC)CO)CO.C(CN)N.[Co+2]	25.0	0.1	Diphenylethanedione
31-480-CAS-21707	119-53-9	OC(c1ccccc1)C(=O)c2ccccc2			134-81-6	O=C(c1ccccc1)C(=O)c2ccccc2	1	72	Cesium carbonate	[Cs+].[Cs+].[O-]C([O-])=O	Cupric chloride	[Cu](Cl)Cl	Toluene	C=1C=CC(=CC1)C	Oxygen	O					40.0	0.1	Diphenylethanedione
31-480-CAS-38354	119-53-9	OC(c1ccccc1)C(=O)c2ccccc2			134-81-6	O=C(c1ccccc1)C(=O)c2ccccc2	1	63	Pyridine	c1ccncc1	Palladium diacetate	C(C)(O)=O.[Pd]	Toluene	C=1C=CC(=CC1)C	Oxygen	O					25.0	0.1	Diphenylethanedione
31-491-CAS-38324	451-40-1	O=C(Cc1ccccc1)c2ccccc2			134-81-6	O=C(c1ccccc1)C(=O)c2ccccc2	1	98	Dimethyl sulfoxide	C[S](C)=O	Copper bromide (CuBr2)	[Cu](Br)Br			Oxygen	O					110.0	0.1	Diphenylethanedione
31-503-CAS-23476200	501-65-5	c1ccc(cc1)C#Cc2ccccc2			134-81-6	O=C(c1ccccc1)C(=O)c2ccccc2	1	85	Potassium persulfate	[K+].[K+].[O-][S](=O)(=O)OO[S]([O-])(=O)=O			Acetonitrile	N#CC	Oxygen	O	Water	O			60.0	0.1	Diphenylethanedione
31-491-CAS-11887394	86-73-7	C1c2ccccc2c3ccccc13			486-25-9	O=C1c2ccccc2c3ccccc13	1	85	Potassium hydroxide	[OH-].[K+]	Cobalt (hydroxyapatite nanocrystal supported)	[Co]	p-Xylene	C=1C=C(C=CC1C)C	Oxygen	O					100.0	0.1	9H-Fluoren-9-one
31-491-CAS-11226576	86-73-7	C1c2ccccc2c3ccccc13			486-25-9	O=C1c2ccccc2c3ccccc13	1	96	Cesium carbonate	[Cs+].[Cs+].[O-]C([O-])=O			Dimethyl sulfoxide	O=S(C)C	Oxygen	O					25.0	0.1	9H-Fluoren-9-one
31-002-CAS-10627699	15300-75-1	BrC1(Br)C=2C=CC=CC2C=3C=CC=CC31			486-25-9	O=C1c2ccccc2c3ccccc13	1	90	Sodium acetate	[Na+].CC([O-])=O			Acetic acid	O=C(O)C	Water	O					25.0	0.1	9H-Fluoren-9-one
31-491-CAS-17177180	86-73-7	C1c2ccccc2c3ccccc13			486-25-9	O=C1c2ccccc2c3ccccc13	1	70	Hydrogen peroxide	OO	Zinc oxide (ZnO)	O=[Zn]	Water	O					Silver	[Ag]	80.0	0.1	9H-Fluoren-9-one
31-491-CAS-18751056	86-73-7	C1c2ccccc2c3ccccc13			486-25-9	O=C1c2ccccc2c3ccccc13	1	19	Oxygen	O	Hydroquinone	OC1=CC=C(O)C=C1	Dimethyl carbonate	O=C(OC)OC					Cupric chloride	[Cu](Cl)Cl	30.0	0.1	9H-Fluoren-9-one
31-139-CAS-18214205	100379-00-8	Cc1cccc(C)c1B(O)O			576-26-1	Cc1cccc(C)c1O	1	72	Triethylamine	CCN(CC)CC			Acetonitrile	N#CC	Oxygen	O	Water	O			25.0	0.1	2,6-Dimethylphenol
31-139-CAS-18316224	100379-00-8	Cc1cccc(C)c1B(O)O			576-26-1	Cc1cccc(C)c1O	1	64	Sodium ascorbate	[Na+].OC[C@H](O)C1OC(=O)[C-](O)C1=O	Menadione	CC1=CC(=O)c2ccccc2C1=O	Ethanol	OCC	Oxygen	O	Water	O			25.0	0.1	2,6-Dimethylphenol
